iso3_d,sector,trade_value,predicted,gap,ratio,gdp_d
ABW,Agriculture & alimentation,3670205.989,2392576.437170179,-1277629.551829821,0.651891595278572,2408022346.3687153
AGO,Agriculture & alimentation,40728447.5655,117294437.23823945,76565989.67273945,2.879914267530209,75759819666.1806
ALB,Agriculture & alimentation,10882334.75525,14339234.604718454,3456899.8494684547,1.317661598105198,10085038493.29173
ARE,Agriculture & alimentation,821098185.40925,158127194.77110142,-662970990.6381485,0.1925801293694103,270245095661.70395
ARG,Agriculture & alimentation,23794420.76175,292515631.19468313,268721210.43293315,12.29345459272149,381536564931.1844
ARM,Agriculture & alimentation,1613452.27275,13210445.930102367,11596993.657352367,8.187689312672523,7968629470.558138
ATG,Agriculture & alimentation,4914944.9705,1430114.3605917867,-3484830.609908213,0.29097260888483567,1161753317.7387917
AUS,Agriculture & alimentation,353175477.00175,620713634.3293344,267538157.3275844,1.7575218970434312,999935673975.1365
AUT,Agriculture & alimentation,7266957.8407499995,199069280.80369306,191802322.96294305,27.393757493320994,357650712668.49567
AZE,Agriculture & alimentation,1787998.221,50655162.181322604,48867163.9603226,28.33065580624121,37383666813.82969
BDI,Agriculture & alimentation,2702285.704,6061196.458199769,3358910.7541997693,2.242988759192936,1865499911.1818137
BEL,Agriculture & alimentation,506478770.7995,181500137.80073267,-324978632.9987673,0.3583568517871467,432435600495.06464
BEN,Agriculture & alimentation,8100863.967666667,15517755.071834868,7416891.104168201,1.9155679114933375,9020981128.866022
BFA,Agriculture & alimentation,2938401.55625,15937260.253970785,12998858.697720785,5.423785670162108,8179832248.420903
BGD,Agriculture & alimentation,1050302153.4547501,216098684.11804613,-834203469.3367039,0.20574906316933136,123301419818.60979
BGR,Agriculture & alimentation,14109298.545249999,48576495.888623714,34467197.343373716,3.4428710777388263,42421841206.463554
BHR,Agriculture & alimentation,5062885.51425,18581564.20660766,13518678.69235766,3.6701529501917394,23391132418.812992
BHS,Agriculture & alimentation,17579212.897,5099155.676220675,-12480057.220779326,0.290067348640557,10260994736.842106
BIH,Agriculture & alimentation,761833.1135,18861433.68205659,18099600.568556592,24.757959909885948,14453528289.480524
BLR,Agriculture & alimentation,1735085.551,51443667.59470976,49708582.04370976,29.649066909156552,45404071898.603806
BLZ,Agriculture & alimentation,3376276.9477500003,1470830.6180572717,-1905446.3296927286,0.43563683928163965,1358974311.5329888
BMU,Agriculture & alimentation,5880160.700999999,2998225.549529954,-2881935.1514700456,0.5098883690406736,5019241357.142858
BOL,Agriculture & alimentation,3057964.37825,30918301.268695828,27860336.89044583,10.11074605335646,20448763327.7884
BRA,Agriculture & alimentation,128999961.5125,1065779244.1568246,936779282.6443245,8.26185707081433,1551309532604.0544
BRB,Agriculture & alimentation,19718590.686750002,3674546.153397158,-16044044.533352844,0.18634932951198616,4268847739.4736843
BRN,Agriculture & alimentation,756940.0380000001,13132308.534626344,12375368.496626344,17.349205849019103,11934240457.243765
BTN,Agriculture & alimentation,6558.282,3427009.6108343177,3420451.3288343176,522.5468515739819,1359193334.2080288
CAF,Agriculture & alimentation,93458.026,4461923.029847374,4368465.003847375,47.742534491873116,1698018532.5067275
CHE,Agriculture & alimentation,64913860.963750005,198598199.17804006,133684338.21429005,3.0594112910483586,531573719567.058
CHL,Agriculture & alimentation,302879707.4885,431889043.05416095,129009335.56566095,1.4259424859968848,186520668503.99927
CHN,Agriculture & alimentation,6752729891.19025,6300081371.0750475,-452648520.1152029,0.9329680695942336,6105596782661.062
CIV,Agriculture & alimentation,15131490.64,36646935.310702085,21515444.670702085,2.42189855464908,24367132737.72696
CMR,Agriculture & alimentation,60483464.83,39040998.01297677,-21442466.817023225,0.6454821681050968,24479978586.218536
COD,Agriculture & alimentation,6040471.20275,54822029.376686476,48781558.17393648,9.075786894195947,23246287843.97752
COG,Agriculture & alimentation,7338421.3065,13813176.832917213,6474755.5264172135,1.8823090493158527,8777520664.331556
COL,Agriculture & alimentation,539980014.882,190267533.1332306,-349712481.7487694,0.3523603242516468,235122183827.9623
COM,Agriculture & alimentation,1639209.7643333331,2159239.1915737926,520029.4272404595,1.3172439785044567,827871605.0607958
CPV,Agriculture & alimentation,1710614.80375,2609122.265217813,898507.4614678132,1.5252541130230548,1397119834.297498
CRI,Agriculture & alimentation,79372220.60775,21836081.762454566,-57536138.84529543,0.2751098759144766,35269938042.35277
CYM,Agriculture & alimentation,1184806.82725,3133004.8241287395,1948197.9968787394,2.6443169908132713,4325433088.092754
CYP,Agriculture & alimentation,2494198.294,15286097.67713506,12791899.38313506,6.128661748308877,20711209764.183365
CZE,Agriculture & alimentation,13260740.616,126667518.85928772,113406778.24328773,9.552069716713605,171359283571.63364
DEU,Agriculture & alimentation,448394467.80550003,1507995261.4610062,1059600793.6555061,3.3630996136980196,3177090624728.19
DJI,Agriculture & alimentation,1157268.0,2788874.994778257,1631606.9947782569,2.409878260505135,1375988878.9000144
DMA,Agriculture & alimentation,3526713.9945,769067.3164876214,-2757646.6780123785,0.21806909142249736,448819590.6432748
DNK,Agriculture & alimentation,161586615.194,117008812.46597646,-44577802.728023544,0.7241244104624404,289949432179.00183
DOM,Agriculture & alimentation,138759799.00875,38351939.84296118,-100407859.16578881,0.27639085756057313,50054938065.53021
DZA,Agriculture & alimentation,588567980.85675,123745406.48421481,-464822574.3725352,0.21024828143740437,139152909211.0884
ECU,Agriculture & alimentation,246657849.12150002,64631404.60063103,-182026444.520869,0.2620285745246832,65763333783.28638
EGY,Agriculture & alimentation,196269065.812,218082514.27612615,21813448.46412614,1.1111405323802812,189832041914.84985
ESP,Agriculture & alimentation,334175472.62425,671164751.590475,336989278.96622497,2.0084201462180284,1210617438790.3096
EST,Agriculture & alimentation,6890928.732249999,16528258.576002907,9637329.843752908,2.3985531150031445,19047744509.813984
ETH,Agriculture & alimentation,4485736.818,78301189.59983145,73815452.78183144,17.4555915286048,34917528398.321526
FIN,Agriculture & alimentation,12877972.2425,124718849.63976693,111840877.39726692,9.684665201262716,226995950268.8887
FJI,Agriculture & alimentation,2226399.8074999996,5279698.655684141,3053298.848184142,2.3714063565306622,3503986725.6381316
FRA,Agriculture & alimentation,561448066.853,929887732.5031705,368439665.65017045,1.6562310699818232,2373376999021.079
GAB,Agriculture & alimentation,10172545.9725,13177472.166723782,3004926.194223782,1.2953956858339262,12378194115.882967
