iso3_d,trade_actual,trade_predicted,n_years,gdp_d_last,potential_ratio,gap_usd,gap_pct,classification,priority_score
BFA,22147222.163222224,33556514.216790535,18,12330338343.2865,1.515156797971469,11409292.053568311,51.515679797146895,Sous-exploité,0.9318681318681318
MNG,17389737.546888888,33832157.81564982,18,11425755279.5395,1.9455243487388092,16442420.268760934,94.55243487388093,Sous-exploité,0.8978021978021978
NIC,19719580.380944446,33616529.14319252,18,13785943183.0661,1.7047284218926417,13896948.762248076,70.47284218926416,Sous-exploité,0.8890109890109891
GIN,10070908.749499999,27443891.73775607,18,10324668266.5921,2.7250660710354073,17372982.98825607,172.50660710354074,Sous-exploité,0.8505494505494506
LVA,72832098.41594444,87064012.86139417,18,30198231776.3706,1.1954071728672597,14231914.445449725,19.540717286725968,Équilibre,0.8505494505494505
ALB,21576302.291222222,47146975.7277361,18,13025064966.5784,2.185127696645067,25570673.43651388,118.51276966450672,Sous-exploité,0.8252747252747252
MDG,16301045.031388888,38093197.71875997,18,13176313593.5509,2.336856173663017,21792152.687371083,133.6856173663017,Sous-exploité,0.823076923076923
SEN,27915232.064722225,51601277.02147627,18,21081669869.9833,1.8484989450145821,23686044.956754044,84.84989450145821,Sous-exploité,0.8142857142857143
CRI,95588942.75738889,107006762.10643701,18,58174549218.3352,1.1194470722207621,11417819.349048123,11.944707222076207,Équilibre,0.7967032967032968
BEN,11627491.159222223,36254788.452638015,18,12701656930.6889,3.118023308397264,24627297.293415792,211.8023308397264,Sous-exploité,0.7901098901098901
ECU,177224345.1847778,188089918.75247177,18,104295862000.0,1.0613097120283632,10865573.567693979,6.130971202836329,Équilibre,0.7824175824175824
JOR,61187832.25083334,79997705.04414625,18,40708943661.9718,1.307411982111145,18809872.793312915,30.74119821111449,Sous-exploité,0.7736263736263735
HND,34371599.66238889,63879340.21755176,18,23136232229.6069,1.8584919190552456,29507740.55516287,85.84919190552456,Sous-exploité,0.7714285714285715
LBN,79263188.71977778,95853363.44508906,18,53393799668.325,1.2093049118167976,16590174.72531128,20.930491181679766,Équilibre,0.7703296703296704
DOM,133172411.13405555,147955451.9071257,18,79998045976.4898,1.1110067817138873,14783040.773070157,11.100678171388727,Équilibre,0.7582417582417582
VNM,246308668.8696667,248773205.4488119,18,223779865815.183,1.0100058864775454,2464536.579145193,1.000588647754535,Équilibre,0.7527472527472527
PAN,73637529.31827778,90112324.96794976,18,62283800000.0,1.2237282510995753,16474795.649671987,22.372825109957528,Équilibre,0.7505494505494505
GAB,14541435.646277778,44690997.77032,18,14892609693.1667,3.073355262673786,30149562.12404222,207.3355262673786,Sous-exploité,0.7406593406593406
MOZ,22492556.405500002,56966345.46506238,18,13219084261.3664,2.5326754521834904,34473789.05956238,153.26754521834903,Sous-exploité,0.732967032967033
ARM,8469841.924611112,39444788.96511798,18,11527458565.7334,4.657086792907185,30974947.04050687,365.70867929071846,Sous-exploité,0.7296703296703297
MLI,9698417.3475,37885425.818889804,18,15337740140.8637,3.906351362437056,28187008.471389804,290.6351362437056,Sous-exploité,0.7197802197802198
SLV,37011627.17005555,72075544.1436669,18,24928000000.0,1.9473757209458757,35063916.97361134,94.73757209458756,Sous-exploité,0.698901098901099
