iso3_d,trade_actual,trade_predicted,n_years,gdp_d_last,potential_ratio,gap_usd,gap_pct,classification
EUN,0.0,9888221069.292088,19,18768076076357.28,9888221069.292088,9888221069.292088,988822106929.2087,Sous-exploité
RUS,773853246.3641112,1804155658.941177,18,1578624060588.26,2.33139250551427,1030302412.5770657,133.139250551427,Sous-exploité
DEU,2616091689.8999996,3629160936.1748066,18,3656749414477.08,1.3872453133756684,1013069246.274807,38.72453133756683,Sous-exploité
ESP,884957476.2015556,1754823080.3436067,18,1309309642308.24,1.9829462177953654,869865604.1420511,98.29462177953653,Sous-exploité
NOR,0.0,748711990.5803618,18,398393955268.99,748711990.5803618,748711990.5803618,74871199058.03618,Sous-exploité
POL,225114932.0462222,773669353.569099,18,526216495118.144,3.436774924420578,548554421.5228767,243.6774924420578,Sous-exploité
IRN,193400485.53177777,711813075.1431265,18,454012768723.589,3.6805133823005214,518412589.61134875,268.0513382300522,Sous-exploité
SWE,311991357.42422223,816871405.3714204,18,540545236387.733,2.618250108321752,504880047.94719815,161.82501083217522,Sous-exploité
TUR,666076084.2986112,1114983888.6667032,18,852676778300.885,1.67395874878288,448907804.36809206,67.395874878288,Sous-exploité
ITA,1566989427.8222222,2010666307.471143,18,1956960611690.59,1.2831396764849499,443676879.6489208,28.31396764849499,Sous-exploité
AUT,277874764.0095,687644282.3723679,18,417282900758.04297,2.474655389536772,409769518.36286783,147.4655389536772,Sous-exploité
ARG,202545919.49966666,596899829.7337594,18,642695864756.35,2.9469852130728396,394353910.2340927,194.69852130728395,Sous-exploité
NGA,204962534.99116668,519428307.1833977,18,375745486520.715,2.5342597719421436,314465772.19223106,153.42597719421437,Sous-exploité
GRC,107948776.29577777,421199286.79005504,18,203085551429.132,3.901844015683664,313250510.49427724,290.18440156836635,Sous-exploité
PRT,156346911.2343889,456198744.91869277,18,220811110492.149,2.9178622162530496,299851833.6843039,191.78622162530493,Sous-exploité
CZE,125395000.16816667,395993693.76380026,18,215913545038.43,3.1579703595257778,270598693.5956336,215.79703595257783,Sous-exploité
ROU,87387099.2073889,353822637.1048624,18,211695422578.655,4.048911570633133,266435537.8974735,304.89115706331336,Sous-exploité
KAZ,99951872.67388889,302895963.5129104,18,166805800595.704,3.0304180943278913,202944090.83902153,203.04180943278914,Sous-exploité
UKR,106747779.5971111,297065146.9799035,18,112190355158.178,2.782869565072836,190317367.3827924,178.28695650728358,Sous-exploité
HUN,116752584.57833333,304013558.645302,18,141510583019.556,2.6039128790449073,187260974.06696868,160.39128790449075,Sous-exploité
SVK,37579965.8425,218111708.86381346,18,95241436351.7628,5.803935793287661,180531743.02131346,480.3935793287661,Sous-exploité
IRQ,192046588.4212857,369240722.48158354,14,195473049875.108,1.9226622327265375,177194134.06029785,92.26622327265375,Sous-exploité
DNK,292900015.5328889,466382293.57627606,18,329417067127.81604,1.5922918021283183,173482278.04338717,59.22918021283182,Sous-exploité
FRA,2172453204.539056,2344947127.90328,18,2586285406561.51,1.0794005242570106,172493923.36422396,7.940052425701072,Équilibre
IND,1547069919.5633333,1711504775.4677274,18,2652242857923.91,1.1062879277950195,164434855.90439415,10.628792779501946,Équilibre
AGO,62199256.89116666,219777647.6574077,18,122123822333.591,3.5334449098317093,157578390.76624104,253.34449098317094,Sous-exploité
BLR,4975081.6931111105,145674643.65379032,18,54726595249.1849,29.280854594911055,140699561.9606792,2828.085459491105,Sous-exploité
SRB,13748594.33175,147179237.68203834,12,44120424391.86,10.705038939301115,133430643.35028833,970.5038939301115,Sous-exploité
UZB,5926362.066611111,136775376.8528677,18,59159945320.5667,23.079146247822884,130849014.78625658,2207.9146247822882,Sous-exploité
KWT,92357061.361,221698464.74890408,18,120707550280.251,2.4004495323031314,129341403.38790408,140.04495323031315,Sous-exploité
HRV,30911198.255111113,158434281.46138754,18,55319620157.6135,5.125465540152288,127523083.20627643,412.5465540152288,Sous-exploité
MMR,3631552.2671666667,130970245.09635288,18,66719084253.4803,36.06453534497405,127338692.8291862,3506.453534497404,Sous-exploité
ISR,338286021.5957222,456713057.6553545,18,353253406954.97,1.3500796027604172,118427036.0596323,35.00796027604171,Sous-exploité
QAT,95723843.5298889,212147848.21790144,18,166928571428.57098,2.216248746339361,116424004.68801254,121.62487463393612,Sous-exploité
